player,rating,time_control
joaozinhogibi,2002,blitz
Chevalier97,1798,blitz
Henry2v,1527,blitz
ennoviembre,1763,blitz
CHESS2021JULIO,1782,blitz
dnegret9,1567,blitz
ProfeAlfredo,1666,blitz
jaimecontreras,1849,blitz
periodistatecno,1951,blitz
ReyNegro1980,1686,blitz
Jero_guz,1706,blitz
jaimeTorres,1954,blitz
ThiagoRGuerra,1999,blitz
GGValenca,1727,blitz
Lhutan,1744,blitz
RZAKO,2035,blitz
hiltonjsp,2061,blitz
boostyu,1810,blitz
Abeto2,2248,blitz
Manch87,2219,blitz
jairdomingues,2064,blitz
NoBoDy-U-Kn0W,2064,blitz
artogoli,1730,blitz
ArteSania,1753,blitz
Faust0503118855,1559,blitz
Alfresco_4p,1538,blitz
vben,1524,blitz
ezurinh,1513,blitz
jorelito79,1913,blitz
Roedeo,1879,blitz
herrphilippov,1364,blitz
GABRIEL_vIeira1998,1319,blitz
mcgrory,1087,blitz
vcljavier,1064,blitz
lightofchildhood,1952,blitz
mhmdk,1960,blitz
ionlymovepons,1983,blitz
joaomattos,1982,blitz
Louay165,2068,blitz
PHK1406,2160,blitz
Qwicen,1404,blitz
rabona07,1371,blitz
Livean,1473,blitz
cecase,1431,blitz
ahmed150300,2028,blitz
janmady,1884,blitz
faraon44,1750,blitz
LAMS2300,1647,blitz
Farhad_TT,1362,blitz
pgdossantosf,1369,blitz
WSB11,1635,blitz
Gatrwh5,1615,blitz
docferleo1,1503,blitz
GrandTheftAuto69_420,1436,blitz
brgs98,1310,blitz
Smirnova22rus,1320,blitz
Boris1952,1584,blitz
Muhammadasaf,1611,blitz
Jaquemate223,1922,blitz
degaullema,1899,blitz
ABYALI,919,blitz
DashMervin,947,blitz
Robineux,1084,blitz
AllBass3aby,1053,blitz
mannylenio1971,1824,blitz
El_Turcoamerindio,1820,blitz
buriburun,2033,blitz
dmanweysabi,1932,blitz
libra_1988,1720,blitz
nandoageu,1689,blitz
DineshMadhav,997,blitz
awful_evil,997,blitz
farhad357,2079,blitz
moored,2115,blitz
dpchss27,1327,blitz
mission93,1338,blitz
playerryy,1351,blitz
MontagueT,1352,blitz
jaferRS,1814,blitz
jair54321,1780,blitz
ThorfinnThorsson,1654,blitz
agdao,1670,blitz
hanklod,1424,blitz
Mgoorl1,1411,blitz
juancarro,1724,blitz
Toquinhott,1721,blitz
cucu35,1687,blitz
androth138,1683,blitz
ChuecoMaciel,1781,blitz
dark_sky002,1810,blitz
tarkaswipard,1464,blitz
muyuyuy13,1571,blitz
LaymeSebastian,1406,blitz
LongLifetotheKing,1495,blitz
stirnermax,1973,blitz
nelida_duenas955,2045,blitz
Nico-Caballero23,1297,blitz
Emanumartins77,1280,blitz
usagiwizard,885,blitz
AtimoDD,985,blitz
Lembke406,2489,blitz
JFDRR,2664,blitz
Rurushu_Lamperouge,1627,blitz
AdelAzaz,1647,blitz
zukertort500,1923,blitz
Santome_4,1931,blitz
KingOfZina,1860,blitz
capogali,2021,blitz
ScarSnipe_25,1241,blitz
imbrusque,1254,blitz
jdbchess24,1857,blitz
Malo101,1820,blitz
Wleddiyab24,1739,blitz
alihaydar23,1720,blitz
Ricardof07,1336,blitz
SoyDiegoAlejo,1370,blitz
KamalEssa,1582,blitz
t4fast,1567,blitz
wattstae,1734,blitz
calletal,1798,blitz
AnonymousHunter,2349,blitz
casachessadel,2230,blitz
SaMmyy34,1961,blitz
snufkin44,1910,blitz
Juanmanuel_69,1515,blitz
psiyar,1467,blitz
myescape1,2284,blitz
Cale4815,2116,blitz
vollcuss,1266,blitz
KobaMaster,1245,blitz
ZyroShirleyBlair,1530,blitz
hollandpault,1569,blitz
huntic6,1419,blitz
just2fat4ya,1433,blitz
Enmanuel091,2423,blitz
AltTomasz,2394,blitz
Josejose64,1731,blitz
Manolete111,1701,blitz
btrprac,1544,blitz
ODS3,1522,blitz
Alexandr_A,1547,blitz
Neitsromram,1850,blitz
institutano,2121,blitz
PALT1TA,2080,blitz
Ilyabuhtiyarov,2161,blitz
Keep_calm305,2182,blitz
Blackwarriors,2076,blitz
Sinai7,2063,blitz
cheese22monster,1991,blitz
cortescarmona,1994,blitz
Neocon,2046,blitz
jfaust64,2025,blitz
Maruchan2022,1981,blitz
MFANASakolimpopobotl,1932,blitz
K9Basty94,1845,blitz
frozenchicken99,1868,blitz
Lawski2020,1893,blitz
MaloperoGano,1893,blitz
papapaulo100,1800,blitz
aperitivo,1821,blitz
rodrigoribeiro_71,1785,blitz
eduardo0827,1791,blitz
Shabem10,1796,blitz
CHESSANGELPRAYER,1798,blitz
