player,rating,time_control
Viaan2019,842,classical
Magnus5carelson,867,classical
fish1800,1880,classical
khanglikechess,990,classical
crazzymad777,1534,classical
alex11star,1881,classical
LevSinger,2093,classical
TryToWins,1650,classical
Danny0628,1721,classical
SpicyCloud,2252,classical
ChileanWizard,2277,classical
Goingvegan,1727,classical
balihai,1481,classical
threehorsetown9,1474,classical
vedrovod,1634,classical
gatochorizo,1668,classical
Fserio,1067,classical
Princyprincy,1151,classical
Semyon1936,1447,classical
adasay,1399,classical
eliasr_98,1678,classical
Chozno,1823,classical
Stevarinoo,1732,classical
AdrianZhang5,1724,classical
bfe,1584,classical
Arundelseven,1584,classical
erjendraa,1543,classical
karimreda95,1524,classical
Israfilofr,1796,classical
jhotz,1817,classical
SchizoidForJesus,1831,classical
idontknoww8,1485,classical
princesschess_jissel,1385,classical
kent-75,1320,classical
Mateo113,1642,classical
Iceman412,1564,classical
Artathebest,1500,classical
Borlance,1364,classical
snaprr,1500,classical
sseh-c,2002,classical
RavenEngine,2241,classical
Pat9471,2564,classical
SleepMindEngine,2405,classical
vladislav-c,1754,classical
Chessdad1979,1714,classical
BrunoDemarchi,1295,classical
BordsKael,1767,classical
jumalo,1758,classical
legoltasaurio,1397,classical
Patthias,1603,classical
amit191980,1500,classical
Siddchaklader,1243,classical
tsnswamy,1536,classical
intanpr,1567,classical
jjgems101,1161,classical
Sctella,1224,classical
Adityasheoran,1423,classical
KrasnerTarrasch,2054,classical
fsha,1960,classical
Nitya2468,1500,classical
Mikadogamer,1480,classical
wiskani,1410,classical
ReginaldRamos,2140,classical
HomeroDostoyevski,2232,classical
Oscar0314,1412,classical
FO-59,1465,classical
Aser_ayman,1355,classical
somethingwitty92912,1875,classical
Batman_2568,1837,classical
CaliforniaCastle,1556,classical
Robotelias,1526,classical
JoMaSV,1648,classical
Kinninigan,1636,classical
suryanshm,1321,classical
AlanRiverside,1308,classical
Targi,1768,classical
knightkeeper526,1650,classical
kokololo2025,1309,classical
eddieshalom,1321,classical
Themodelthebar,1314,classical
MVPA,1364,classical
turochamp-1ply,1420,classical
johnnyloureiro,1832,classical
vlnguyen92,1839,classical
Mega-Meister-Eder,1517,classical
DejanSyd,1524,classical
doddeshgh,1660,classical
SAXMAN1,1622,classical
yptr,1235,classical
ToddBombadill,1129,classical
Drummer57,1513,classical
SteveGerasi,1488,classical
Ninja_Penguin10,1729,classical
Knighthound,1295,classical
Action-Jackson32,1263,classical
RUSchessSTUDENT,1423,classical
DON_kathirvel,1167,classical
MSmiley,1896,classical
Andryuhan,1806,classical
aribi57,1666,classical
tryagainorelse2,1484,classical
ezefisher,1500,classical
JosephK1975,1649,classical
Brazooca,1531,classical
Rahulnsk,1894,classical
Benjamin_3943,1966,classical
PAGI2234,1500,classical
Aguerrero_bravo,1584,classical
HellTocap,1624,classical
