percentile,lichess_tc,fide_tc,lichess_rating,fide_rating
0,bullet,Blitz,441.0,1400.0
1,bullet,Blitz,812.0,1411.0
2,bullet,Blitz,887.5151515151516,1420.0
3,bullet,Blitz,938.0,1427.0
4,bullet,Blitz,977.0,1434.0
5,bullet,Blitz,1015.0,1441.0
6,bullet,Blitz,1043.0,1448.0
7,bullet,Blitz,1068.0,1454.0
8,bullet,Blitz,1095.0,1461.0
9,bullet,Blitz,1118.0,1466.0
10,bullet,Blitz,1141.0,1473.0
11,bullet,Blitz,1160.0,1479.0
12,bullet,Blitz,1182.0,1484.0
13,bullet,Blitz,1202.0,1489.9292929292933
14,bullet,Blitz,1221.0,1494.0
15,bullet,Blitz,1239.363636363637,1500.0
16,bullet,Blitz,1258.0,1505.0
17,bullet,Blitz,1275.878787878789,1510.0
18,bullet,Blitz,1292.0,1515.0
19,bullet,Blitz,1306.39393939394,1519.0
20,bullet,Blitz,1323.0,1525.0
21,bullet,Blitz,1339.0,1531.0
22,bullet,Blitz,1352.0,1536.0
23,bullet,Blitz,1368.0,1540.0
24,bullet,Blitz,1383.0,1546.0
25,bullet,Blitz,1397.0,1551.0
26,bullet,Blitz,1411.0,1556.0
27,bullet,Blitz,1424.0,1561.0
28,bullet,Blitz,1437.0,1567.0
29,bullet,Blitz,1451.0,1572.0
30,bullet,Blitz,1465.0,1577.606060606061
31,bullet,Blitz,1478.0,1582.0
32,bullet,Blitz,1491.0,1587.0
33,bullet,Blitz,1500.0,1593.0
34,bullet,Blitz,1506.0,1598.0
35,bullet,Blitz,1519.0,1603.0404040404055
36,bullet,Blitz,1531.0,1608.0
37,bullet,Blitz,1544.0,1614.0
38,bullet,Blitz,1555.0,1619.0
39,bullet,Blitz,1566.0,1624.0
40,bullet,Blitz,1578.0,1629.0
41,bullet,Blitz,1590.0,1634.0
42,bullet,Blitz,1601.0,1640.0
43,bullet,Blitz,1613.0,1645.0
44,bullet,Blitz,1624.0,1650.0
45,bullet,Blitz,1637.0,1656.0
46,bullet,Blitz,1649.0,1661.0
47,bullet,Blitz,1660.0,1668.0
48,bullet,Blitz,1670.0,1673.0
49,bullet,Blitz,1682.0,1679.0
50,bullet,Blitz,1694.0,1685.0
51,bullet,Blitz,1706.0,1691.0
52,bullet,Blitz,1717.0,1697.0
53,bullet,Blitz,1727.0,1703.0
54,bullet,Blitz,1740.0,1708.0
55,bullet,Blitz,1752.0,1713.0
56,bullet,Blitz,1763.0,1719.0
57,bullet,Blitz,1775.0,1725.0
58,bullet,Blitz,1786.0,1731.8383838383834
59,bullet,Blitz,1798.0,1738.0
60,bullet,Blitz,1809.0,1744.0
61,bullet,Blitz,1819.0,1750.0
62,bullet,Blitz,1830.0,1757.0
63,bullet,Blitz,1841.0,1764.0
64,bullet,Blitz,1853.0,1770.0
65,bullet,Blitz,1866.0,1777.0
66,bullet,Blitz,1877.0,1783.0
67,bullet,Blitz,1889.0,1790.0
68,bullet,Blitz,1904.0,1797.0
69,bullet,Blitz,1914.0,1804.0
70,bullet,Blitz,1926.0,1812.0
71,bullet,Blitz,1937.0,1818.0
72,bullet,Blitz,1949.0,1825.0
73,bullet,Blitz,1962.0,1832.0
74,bullet,Blitz,1976.0,1839.0
75,bullet,Blitz,1989.0,1847.0
76,bullet,Blitz,2002.0,1855.0
