white,black,result,label,num_moves,checks,captures,avg_legal_moves,check_ratio,capture_ratio
joaozinhogibi,Chevalier97,1-0,Human vs Human (likely),79,11,20,33.20253164556962,0.13924050632911392,0.25316455696202533
Henry2v,ennoviembre,0-1,Human vs Human (likely),94,7,22,32.659574468085104,0.07446808510638298,0.23404255319148937
CHESS2021JULIO,dnegret9,0-1,Human vs Human (likely),78,6,15,36.55128205128205,0.07692307692307693,0.19230769230769232
ProfeAlfredo,jaimecontreras,0-1,Human vs Human (likely),64,2,18,34.21875,0.03125,0.28125
periodistatecno,ReyNegro1980,1-0,Human vs Human (likely),89,5,22,24.43820224719101,0.056179775280898875,0.24719101123595505
Jero_guz,jaimeTorres,0-1,Human vs Human (likely),68,7,14,31.352941176470587,0.10294117647058823,0.20588235294117646
ThiagoRGuerra,GGValenca,0-1,Human vs Human (likely),52,1,9,33.71153846153846,0.019230769230769232,0.17307692307692307
Lhutan,RZAKO,1-0,Human vs Human (likely),17,2,4,28.176470588235293,0.11764705882352941,0.23529411764705882
hiltonjsp,boostyu,0-1,Human vs Human (likely),82,7,21,30.79268292682927,0.08536585365853659,0.25609756097560976
Abeto2,Manch87,0-1,Human vs Human (likely),36,0,8,34.888888888888886,0.0,0.2222222222222222
jairdomingues,NoBoDy-U-Kn0W,1-0,Human vs Human (likely),63,0,17,35.01587301587302,0.0,0.2698412698412698
artogoli,ArteSania,1-0,Human vs Human (likely),59,10,20,28.305084745762713,0.1694915254237288,0.3389830508474576
Faust0503118855,Alfresco_4p,0-1,Human vs Human (likely),76,3,18,34.8421052631579,0.039473684210526314,0.23684210526315788
vben,ezurinh,0-1,Human vs Human (likely),21,0,5,32.523809523809526,0.0,0.23809523809523808
jorelito79,Roedeo,1-0,Human vs Human (likely),97,11,25,26.95876288659794,0.1134020618556701,0.25773195876288657
herrphilippov,GABRIEL_vIeira1998,1-0,Human vs Human (likely),53,3,9,30.962264150943398,0.05660377358490566,0.16981132075471697
mcgrory,vcljavier,1/2-1/2,Human vs Human (likely),93,9,24,22.9247311827957,0.0967741935483871,0.25806451612903225
lightofchildhood,mhmdk,1-0,Human vs Human (likely),99,6,22,26.666666666666668,0.06060606060606061,0.2222222222222222
ionlymovepons,joaomattos,1-0,Human vs Human (likely),109,4,20,27.238532110091743,0.03669724770642202,0.1834862385321101
Louay165,PHK1406,0-1,Human vs Human (likely),45,3,14,30.288888888888888,0.06666666666666667,0.3111111111111111
Qwicen,rabona07,1-0,Human vs Human (likely),71,1,19,32.521126760563384,0.014084507042253521,0.2676056338028169
kbisfortheweak,Malleusmaleficarum,0-1,Human vs Human (likely),58,3,22,26.29310344827586,0.05172413793103448,0.3793103448275862
Livean,cecase,0-1,Human vs Human (likely),112,9,22,27.705357142857142,0.08035714285714286,0.19642857142857142
ahmed150300,janmady,1/2-1/2,Human vs Human (likely),139,11,29,20.719424460431654,0.07913669064748201,0.20863309352517986
Trinichessplayr,gallojuan,0-1,Human vs Human (likely),70,2,12,33.18571428571428,0.02857142857142857,0.17142857142857143
faraon44,LAMS2300,0-1,Human vs Human (likely),98,6,25,22.836734693877553,0.061224489795918366,0.25510204081632654
MrDuncan2020,Stop_Go,0-1,Human vs Human (likely),58,1,10,33.62068965517241,0.017241379310344827,0.1724137931034483
smallfriend,Cr_AKL,0-1,Human vs Human (likely),52,7,14,26.51923076923077,0.1346153846153846,0.2692307692307692
Farhad_TT,pgdossantosf,1-0,Human vs Human (likely),59,3,18,27.508474576271187,0.05084745762711865,0.3050847457627119
WSB11,Gatrwh5,0-1,Human vs Human (likely),74,6,25,25.68918918918919,0.08108108108108109,0.33783783783783783
mas_77,annatlrp,1-0,Human vs Human (likely),13,0,1,28.153846153846153,0.0,0.07692307692307693
Hassan210,Fly77,1-0,Human vs Human (likely),35,1,13,31.085714285714285,0.02857142857142857,0.37142857142857144
rohanvichare,matesaregreat,0-1,Human vs Human (likely),80,12,17,26.3875,0.15,0.2125
LucasFBS_05,NkabirwaJulius,1-0,Human vs Human (likely),44,1,15,30.90909090909091,0.022727272727272728,0.3409090909090909
thekingqueen67,AbdulR1994,1-0,Human vs Human (likely),20,2,6,27.25,0.1,0.3
swappybird,Fouad11lamrini,1-0,Human vs Human (likely),99,7,22,27.09090909090909,0.0707070707070707,0.2222222222222222
chulohulo,PaulohmChess,0-1,Human vs Human (likely),80,2,19,31.4125,0.025,0.2375
TastyChess,lance-a-lot,1-0,Human vs Human (likely),81,3,20,28.506172839506174,0.037037037037037035,0.24691358024691357
Falekine,Rezajack,0-1,Human vs Human (likely),58,0,18,30.20689655172414,0.0,0.3103448275862069
jasmilthan,mannerboy,1-0,Human vs Human (likely),15,0,1,27.533333333333335,0.0,0.06666666666666667
Nma12,Maranhakadoshh,1-0,Human vs Human (likely),105,7,25,22.247619047619047,0.06666666666666667,0.23809523809523808
mkbal72,radira15,0-1,Human vs Human (likely),132,11,24,27.848484848484848,0.08333333333333333,0.18181818181818182
HectorGGM,liCashol3X,1-0,Human vs Human (likely),47,0,10,33.5531914893617,0.0,0.2127659574468085
Diablo36,The_Hoverboard,1-0,Human vs Human (likely),81,5,17,29.209876543209877,0.06172839506172839,0.20987654320987653
bananabae,huang11,1-0,Human vs Human (likely),111,16,26,22.585585585585587,0.14414414414414414,0.23423423423423423
BigWinkey-Inyourstin,horaclito,1-0,Human vs Human (likely),67,3,18,33.1044776119403,0.04477611940298507,0.26865671641791045
TAREK_OTHMAN,XizAhk,0-1,Human vs Human (likely),62,1,15,33.46774193548387,0.016129032258064516,0.24193548387096775
Astra81,JoseMabini,1-0,Human vs Human (likely),47,0,11,35.787234042553195,0.0,0.23404255319148937
TortaPounder06,NEPTUNEGTR,1-0,Human vs Human (likely),39,1,8,34.333333333333336,0.02564102564102564,0.20512820512820512
NDanger93,rhirsh,0-1,Human vs Human (likely),84,6,18,30.226190476190474,0.07142857142857142,0.21428571428571427
nubihar,Ewanma,0-1,Human vs Human (likely),90,2,20,28.91111111111111,0.022222222222222223,0.2222222222222222
blunderman666420,jmoonitz,1-0,Human vs Human (likely),5,0,1,24.2,0.0,0.2
KingMaxxxxx,kjhack62,0-1,Human vs Human (likely),62,2,14,32.725806451612904,0.03225806451612903,0.22580645161290322
Celestial_Emissary,junebakos,1-0,Human vs Human (likely),37,4,10,34.432432432432435,0.10810810810810811,0.2702702702702703
schreubchen,bkalqenaei,0-1,Human vs Human (likely),82,7,23,25.109756097560975,0.08536585365853659,0.2804878048780488
TWK12334,Omraaum,0-1,Human vs Human (likely),118,9,27,23.73728813559322,0.07627118644067797,0.2288135593220339
gergezi,jsequera,1-0,Human vs Human (likely),89,5,23,32.40449438202247,0.056179775280898875,0.25842696629213485
ReyCebador,Fluxieur,1-0,Human vs Human (likely),31,0,5,34.935483870967744,0.0,0.16129032258064516
novelnora,nizarqananwah1,0-1,Human vs Human (likely),84,11,23,27.404761904761905,0.13095238095238096,0.27380952380952384
Tiggeronvrb,ahmedGoG,1-0,Human vs Human (likely),35,2,7,33.4,0.05714285714285714,0.2
nooboy,princess_elfa,1-0,Human vs Human (likely),41,3,11,31.24390243902439,0.07317073170731707,0.2682926829268293
MO7_SY,InfiniteFlash,1-0,Human vs Human (likely),59,7,15,33.152542372881356,0.11864406779661017,0.2542372881355932
Guram48,adi_12,0-1,Human vs Human (likely),30,2,11,36.13333333333333,0.06666666666666667,0.36666666666666664
pres_prot,MemeCulture,1-0,Human vs Human (likely),93,14,20,30.247311827956988,0.15053763440860216,0.21505376344086022
docferleo1,GrandTheftAuto69_420,0-1,Human vs Human (likely),60,3,20,28.133333333333333,0.05,0.3333333333333333
brgs98,Smirnova22rus,0-1,Human vs Human (likely),120,7,27,26.916666666666668,0.058333333333333334,0.225
Boris1952,Muhammadasaf,0-1,Human vs Human (likely),60,6,15,35.016666666666666,0.1,0.25
Jaquemate223,degaullema,1-0,Human vs Human (likely),57,3,12,34.333333333333336,0.05263157894736842,0.21052631578947367
ABYALI,DashMervin,1-0,Human vs Human (likely),23,1,5,31.17391304347826,0.043478260869565216,0.21739130434782608
